IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150377456,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,04/30/2015,22:58,TENDERLOIN,"ARREST, CITED",LEAVENWORTH ST / EDDY ST,-122.414242955907,37.7837240254478,"(37.7837240254478, -122.414242955907)",15037745665016
156103902,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,22:58,NORTHERN,NONE,FELL ST / WEBSTER ST,-122.429369095956,37.775110346472,"(37.775110346472, -122.429369095956)",15610390206244
150377547,KIDNAPPING,FALSE IMPRISONMENT,Thursday,04/30/2015,22:50,CENTRAL,"ARREST, BOOKED",500 Block of STOCKTON ST,-122.407233499106,37.7905223625299,"(37.7905223625299, -122.407233499106)",15037754726142
150377547,ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,04/30/2015,22:50,CENTRAL,"ARREST, BOOKED",500 Block of STOCKTON ST,-122.407233499106,37.7905223625299,"(37.7905223625299, -122.407233499106)",15037754715040
156108087,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,04/30/2015,22:40,CENTRAL,NONE,2200 Block of LEAVENWORTH ST,-122.41777148469,37.8015056603454,"(37.8015056603454, -122.41777148469)",15610808706224
156108037,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,22:40,CENTRAL,NONE,POWELL ST / JACKSON ST,-122.409900589034,37.795617118662,"(37.795617118662, -122.409900589034)",15610803706244
150377876,NON-CRIMINAL,AIDED CASE,Thursday,04/30/2015,22:30,MISSION,NONE,900 Block of POTRERO AV,-122.406604919508,37.7571580431915,"(37.7571580431915, -122.406604919508)",15037787651040
150377434,ROBBERY,"ROBBERY, BODILY FORCE",Thursday,04/30/2015,22:20,CENTRAL,NONE,MASON ST / BROADWAY ST,-122.411919767446,37.7972709943716,"(37.7972709943716, -122.411919767446)",15037743403074
150377406,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,04/30/2015,22:14,INGLESIDE,NONE,0 Block of ANDERSON ST,-122.414974821368,37.7418768608865,"(37.7418768608865, -122.414974821368)",15037740664020
150377393,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,04/30/2015,22:09,NORTHERN,NONE,2400 Block of POLK ST,-122.422501238508,37.7992278737045,"(37.7992278737045, -122.422501238508)",15037739364020
150381190,VEHICLE THEFT,STOLEN TRUCK,Thursday,04/30/2015,22:00,BAYVIEW,NONE,1300 Block of UNDERWOOD AV,-122.387234036752,37.7271017664689,"(37.7271017664689, -122.387234036752)",15038119007025
156107841,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,22:00,RICHMOND,NONE,300 Block of ARGUELLO BL,-122.459020034103,37.7844458856887,"(37.7844458856887, -122.459020034103)",15610784106244
150378498,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,04/30/2015,22:00,NORTHERN,NONE,2300 Block of VANNESS AV,-122.423530547475,37.7971854093352,"(37.7971854093352, -122.423530547475)",15037849864070
150377412,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,04/30/2015,22:00,MISSION,"ARREST, BOOKED",300 Block of BARTLETT ST,-122.419408045677,37.7513609637505,"(37.7513609637505, -122.419408045677)",15037741228160
150377490,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,04/30/2015,22:00,BAYVIEW,NONE,2400 Block of PHELPS ST,-122.400130573297,37.7300925390327,"(37.7300925390327, -122.400130573297)",15037749064020
150377503,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Thursday,04/30/2015,22:00,BAYVIEW,NONE,1100 Block of PALOU AV,-122.382475491131,37.7292626391341,"(37.7292626391341, -122.382475491131)",15037750371010
150377644,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,04/30/2015,22:00,BAYVIEW,NONE,100 Block of LEDYARD ST,-122.40063210119,37.7320483012184,"(37.7320483012184, -122.40063210119)",15037764428160
150377343,OTHER OFFENSES,RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER,Thursday,04/30/2015,21:58,BAYVIEW,NONE,3100 Block of SAN BRUNO AV,-122.401335963906,37.72198844716,"(37.72198844716, -122.401335963906)",15037734315155
150377343,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,04/30/2015,21:58,BAYVIEW,NONE,3100 Block of SAN BRUNO AV,-122.401335963906,37.72198844716,"(37.72198844716, -122.401335963906)",15037734364085
150377735,ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,04/30/2015,21:48,INGLESIDE,"ARREST, BOOKED",NEY ST / MISSION ST,-122.430183053756,37.7298605291009,"(37.7298605291009, -122.430183053756)",15037773515040
150377321,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,04/30/2015,21:45,BAYVIEW,NONE,300 Block of MISSOURI ST,-122.396533803539,37.7619236146285,"(37.7619236146285, -122.396533803539)",15037732106153
150377321,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Thursday,04/30/2015,21:45,BAYVIEW,NONE,300 Block of MISSOURI ST,-122.396533803539,37.7619236146285,"(37.7619236146285, -122.396533803539)",15037732103414
150377280,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,04/30/2015,21:30,BAYVIEW,NONE,0 Block of HARBOR RD,-122.378268018481,37.7323807302226,"(37.7323807302226, -122.378268018481)",15037728028100
156108071,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,21:15,CENTRAL,NONE,100 Block of POST ST,-122.404784825095,37.7886943991722,"(37.7886943991722, -122.404784825095)",15610807106244
156103231,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,21:13,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",15610323106244
